dates_document_date,document_digital_id,document_if_published_publication_details,document_if_published_volume_link,document_if_published_volume_reference,document_if_published_volume_reference_noDoc,document_language_code,document_publication_date,document_reference,document_related_to_dodis_docs_item1,document_related_to_dodis_docs_item2,document_related_to_dodis_docs_item3,document_related_to_dodis_docs_item4,document_related_to_dodis_docs_item5,document_related_to_dodis_docs_item6,document_summary,document_type_document,geographic_nouns_geo_nouns_mentioned_item1,geographic_nouns_geo_nouns_mentioned_item2,geographic_nouns_geo_nouns_mentioned_item3,geographic_nouns_geo_nouns_mentioned_item4,geographic_nouns_geo_nouns_mentioned_item5,geographic_nouns_geo_nouns_mentioned_item6,geographic_nouns_geo_nouns_mentioned_item7,geographic_nouns_geo_nouns_mentioned_item8,geographic_nouns_geo_nouns_mentioned_item9,geographic_nouns_geo_nouns_mentioned_item10,geographic_nouns_geo_nouns_mentioned_item11,geographic_nouns_geo_nouns_mentioned_item12,geographic_nouns_geo_nouns_mentioned_item13,geographic_nouns_geo_nouns_mentioned_item14,geographic_nouns_geo_nouns_mentioned_item15,geographic_nouns_geo_nouns_mentioned_item16,geographic_nouns_geo_nouns_mentioned_item17,geographic_nouns_geo_nouns_mentioned_item18,geographic_nouns_geo_nouns_mentioned_item19,geographic_nouns_geo_nouns_mentioned_item20,geographic_nouns_geo_nouns_mentioned_item21,geographic_nouns_geo_nouns_mentioned_item22,geographic_nouns_geo_nouns_mentioned_item23,geographic_nouns_geo_nouns_mentioned_item24,geographic_nouns_geo_nouns_mentioned_item25,geographic_nouns_geo_nouns_mentioned_item26,geographic_nouns_geo_nouns_mentioned_item27,geographic_nouns_geo_nouns_mentioned_item28,geographic_nouns_geo_nouns_mentioned_item29,geographic_nouns_geo_nouns_mentioned_item30,geographic_nouns_geo_nouns_mentioned_item31,geographic_nouns_geo_nouns_mentioned_item32,geographic_nouns_geo_nouns_mentioned_item33,geographic_nouns_geo_nouns_mentioned_item34,geographic_nouns_geo_nouns_mentioned_item35,geographic_nouns_geo_nouns_mentioned_item36,geographic_nouns_geo_nouns_mentioned_item37,geographic_nouns_geo_nouns_mentioned_item38,geographic_nouns_geo_nouns_mentioned_item39,geographic_nouns_geo_nouns_mentioned_item40,locations_archives_recipient_location,organizations_author_organization,organizations_other_organizations_mentioned_item1,organizations_other_organizations_mentioned_item2,organizations_other_organizations_mentioned_item3,organizations_other_organizations_mentioned_item4,organizations_other_organizations_mentioned_item5,organizations_other_organizations_mentioned_item6,organizations_other_organizations_mentioned_item7,organizations_other_organizations_mentioned_item8,organizations_other_organizations_mentioned_item9,organizations_other_organizations_mentioned_item10,organizations_other_organizations_mentioned_item11,organizations_other_organizations_mentioned_item12,organizations_other_organizations_mentioned_item13,organizations_other_organizations_mentioned_item14,organizations_other_organizations_mentioned_item15,organizations_other_organizations_mentioned_item16,organizations_other_organizations_mentioned_item17,organizations_other_organizations_mentioned_item18,organizations_other_organizations_mentioned_item19,organizations_other_organizations_mentioned_item20,organizations_other_organizations_mentioned_item21,organizations_other_organizations_mentioned_item22,organizations_other_organizations_mentioned_item23,organizations_other_organizations_mentioned_item24,organizations_other_organizations_mentioned_item25,organizations_other_organizations_mentioned_item26,organizations_other_organizations_mentioned_item27,organizations_other_organizations_mentioned_item28,organizations_other_organizations_mentioned_item29,organizations_other_organizations_mentioned_item30,organizations_other_organizations_mentioned_item31,organizations_other_organizations_mentioned_item32,organizations_other_organizations_mentioned_item33,organizations_other_organizations_mentioned_item34,organizations_other_organizations_mentioned_item35,organizations_other_organizations_mentioned_item36,organizations_other_organizations_mentioned_item37,organizations_other_organizations_mentioned_item38,organizations_other_organizations_mentioned_item39,organizations_other_organizations_mentioned_item40,organizations_recipient_organization,persons_author_person,persons_other_persons_mentioned_item1,persons_other_persons_mentioned_item2,persons_other_persons_mentioned_item3,persons_other_persons_mentioned_item4,persons_other_persons_mentioned_item5,persons_other_persons_mentioned_item6,persons_other_persons_mentioned_item7,persons_other_persons_mentioned_item8,persons_other_persons_mentioned_item9,persons_other_persons_mentioned_item10,persons_other_persons_mentioned_item11,persons_other_persons_mentioned_item12,persons_other_persons_mentioned_item13,persons_other_persons_mentioned_item14,persons_other_persons_mentioned_item15,persons_other_persons_mentioned_item16,persons_other_persons_mentioned_item17,persons_other_persons_mentioned_item18,persons_other_persons_mentioned_item19,persons_other_persons_mentioned_item20,persons_other_persons_mentioned_item21,persons_other_persons_mentioned_item22,persons_other_persons_mentioned_item23,persons_other_persons_mentioned_item24,persons_other_persons_mentioned_item25,persons_other_persons_mentioned_item26,persons_other_persons_mentioned_item27,persons_other_persons_mentioned_item28,persons_other_persons_mentioned_item29,persons_other_persons_mentioned_item30,persons_other_persons_mentioned_item31,persons_other_persons_mentioned_item32,persons_other_persons_mentioned_item33,persons_other_persons_mentioned_item34,persons_other_persons_mentioned_item35,persons_other_persons_mentioned_item36,persons_other_persons_mentioned_item37,persons_other_persons_mentioned_item38,persons_other_persons_mentioned_item39,persons_other_persons_mentioned_item40,persons_recipient_person,persons_signatory_person,tags_document_tags_item1,tags_document_tags_item2,tags_document_tags_item3,tags_document_tags_item4,tags_document_tags_item5,tags_document_tags_item6,tags_document_tags_item7,tags_document_tags_item8,tags_document_tags_item9,tags_document_tags_item10,tags_document_tags_item11,tags_document_tags_item12
30.12.1959,10000,,,,,ml,30.12.1959,,,,,,,,Ratifikationsaustausch: 13.10.1960,Treaty (Acc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH-BAR#null; CH-BAR#null; CH-BAR#null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pakistan (Economy),Pakistan (General),Financial relations,,,,,,,,,
3.12.1959,10001,,,,,fr,3.12.1959,,,,,,,,Ratifikationsaustausch: 01.12.1960,Treaty (Acc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH-BAR#null; CH-BAR#null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France (Others),France (General),Environmental issues,,,,,,,,,
3.12.1959,10002,,,,,fr,3.12.1959,,,,,,,,Ratifikationsaustausch: 01.12.1960,Treaty (Acc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH-BAR#null; CH-BAR#null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France (Others),France (General),Environmental issues,,,,,,,,,
19.10.1959,10003,,,,,fr,19.10.1959,,,,,,,,Ratifikationsaustausch: 19.09.1961,Treaty (Acc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH-BAR#null; CH-BAR#null; CH-BAR#null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Africa (Economy),South Africa (General),Transit and transport,,,,,,,,,
7.1.1959,10004,,,,,fr,7.1.1959,,,,,,,,Ratifikationsaustausch: 21.08.1961,Treaty (Acc),Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH-BAR#null; CH-BAR#null; CH-BAR#null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finland (Economy),Finland (General),Transit and transport,,,,,,,,,
21.12.1959,10005,,,,,fr,21.12.1959,,,,,,,,Allgem. In-Kraft-Treten: 01.01.1963,Treaty (Acc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH-BAR#null; CH-BAR#null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Press and media,Multilateral relations,UNO (principal organs),,,,,,,,,
16.4.1959,10006,,,,,fr,16.4.1959,,,,,,,,In-Kraft-Treten: 01.02.1961,Treaty (Acc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH-BAR#null; CH-BAR#null; CH-BAR#null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France (Economy),France (General),Economic relations,,,,,,,,,
8.4.1959,10007,,,,,en,8.4.1959,,,,,,,,Allgem. In-Kraft-Treten: 30.12.1959,Treaty (Acc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH-BAR#null; CH-BAR#null; CH-BAR#null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technical cooperation,Multilateral relations,America,Economic relations,Financial relations,Monetary issues / National Bank,,,,,,
1.9.1959,10008,,,,,it,1.9.1959,,,,,,,,,Treaty (Acc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy (Economy),Italy (General),Financial relations,,,,,,,,,
20.4.1959,10009,,,,,fr,20.4.1959,,,,,,,,Allgem. In-Kraft-Treten: 22.09.1969,Treaty (Acc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit and transport,Multilateral relations,Council of Europe,,,,,,,,,
19.11.1959,10010,,,,,fr,19.11.1959,,,,,,,,Allgem. In-Kraft-Treten: 26.09.1961,Treaty (Acc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UN (Specialized Agencies),Multilateral relations,Technical cooperation,Economic relations,,,,,,,,
